Timestamp (ms),<class 'type'>
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6704,0
6835,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
6836,0
