Timestamp (ms),F_IMU_ACCEL_Z
0,6.726232628759122e-42
0,4.098517748457225e-41
0,6.421310082922042e-41
0,5.82043330141956e-41
0,6.044641055711531e-41
0,2.5470000887567875e-41
0,4.780109321504816e-41
0,6.20607063880175e-41
0,3.990898026397079e-41
0,4.82495087236321e-41
0,6.941472072879414e-41
0,8.313623529146275e-41
0,7.901081261249049e-41
0,4.1164543688005826e-41
0,5.049158626655181e-41
0,8.537831283438245e-41
0,1.3273099054084667e-41
0,4.161295919658977e-41
0,7.452665752665107e-41
0,1.7577887936490505e-41
0,9.327042578545982e-42
0,1.3273099054084667e-41
0,5.910116403136348e-41
35838,3.214103636981724e-39
0,3.4886726567830646e-41
0,3.300338143177809e-41
