Timestamp (ms),F_IMU_TEMP
5186,4.203895392974451e-44
5194,4.203895392974451e-44
5206,4.203895392974451e-44
5216,4.203895392974451e-44
5226,4.203895392974451e-44
5239,4.203895392974451e-44
5245,4.203895392974451e-44
5256,4.203895392974451e-44
5266,4.203895392974451e-44
5276,4.203895392974451e-44
5287,4.203895392974451e-44
5293,4.203895392974451e-44
5306,4.203895392974451e-44
5316,4.203895392974451e-44
5326,4.203895392974451e-44
5337,4.203895392974451e-44
5345,4.203895392974451e-44
5356,4.203895392974451e-44
5366,4.203895392974451e-44
5376,4.203895392974451e-44
5387,4.203895392974451e-44
5395,4.203895392974451e-44
5406,4.203895392974451e-44
5416,4.203895392974451e-44
5426,4.203895392974451e-44
5438,4.203895392974451e-44
5445,4.203895392974451e-44
5456,4.203895392974451e-44
5466,4.203895392974451e-44
5476,4.203895392974451e-44
5487,4.203895392974451e-44
5494,4.203895392974451e-44
5506,4.203895392974451e-44
5516,4.203895392974451e-44
5526,4.203895392974451e-44
5537,4.203895392974451e-44
5545,4.203895392974451e-44
5556,4.203895392974451e-44
5566,4.203895392974451e-44
5576,4.203895392974451e-44
5588,4.203895392974451e-44
5594,4.203895392974451e-44
5606,4.203895392974451e-44
5616,4.203895392974451e-44
5626,4.203895392974451e-44
5638,4.203895392974451e-44
5644,4.203895392974451e-44
5656,4.203895392974451e-44
5666,4.203895392974451e-44
5677,4.203895392974451e-44
5689,4.203895392974451e-44
5693,4.203895392974451e-44
5707,4.203895392974451e-44
5717,4.203895392974451e-44
5727,4.203895392974451e-44
5738,4.203895392974451e-44
5745,4.203895392974451e-44
5757,4.203895392974451e-44
5767,4.203895392974451e-44
5777,4.203895392974451e-44
5788,4.203895392974451e-44
5794,4.203895392974451e-44
5807,4.203895392974451e-44
5817,4.203895392974451e-44
5826,4.203895392974451e-44
5838,4.203895392974451e-44
5843,4.203895392974451e-44
5857,4.203895392974451e-44
5867,4.203895392974451e-44
5877,4.203895392974451e-44
5888,4.203895392974451e-44
5893,4.203895392974451e-44
5907,4.203895392974451e-44
5917,4.203895392974451e-44
5927,4.203895392974451e-44
5940,4.203895392974451e-44
5945,4.203895392974451e-44
5957,4.203895392974451e-44
5967,4.203895392974451e-44
5977,4.203895392974451e-44
5989,4.203895392974451e-44
5993,4.203895392974451e-44
6007,4.203895392974451e-44
6017,4.203895392974451e-44
6027,4.203895392974451e-44
6038,4.203895392974451e-44
6043,4.203895392974451e-44
6057,4.203895392974451e-44
6066,4.203895392974451e-44
6076,4.203895392974451e-44
6088,4.203895392974451e-44
6093,4.203895392974451e-44
6106,4.203895392974451e-44
6116,4.203895392974451e-44
6126,4.203895392974451e-44
6138,4.203895392974451e-44
6143,4.203895392974451e-44
6156,4.203895392974451e-44
6166,4.203895392974451e-44
6176,4.203895392974451e-44
6188,4.203895392974451e-44
6193,4.203895392974451e-44
6206,4.203895392974451e-44
6216,4.203895392974451e-44
6226,4.203895392974451e-44
6240,4.203895392974451e-44
6244,4.203895392974451e-44
6256,4.203895392974451e-44
6266,4.203895392974451e-44
6276,4.203895392974451e-44
6289,4.203895392974451e-44
6293,4.203895392974451e-44
6305,4.203895392974451e-44
6315,4.203895392974451e-44
6325,4.203895392974451e-44
6338,4.203895392974451e-44
6343,4.203895392974451e-44
6355,4.203895392974451e-44
6365,4.203895392974451e-44
6375,4.203895392974451e-44
6388,4.203895392974451e-44
6393,4.203895392974451e-44
6405,4.203895392974451e-44
6415,4.203895392974451e-44
6425,4.203895392974451e-44
6440,4.203895392974451e-44
6444,4.203895392974451e-44
6455,4.203895392974451e-44
6465,4.203895392974451e-44
6475,4.203895392974451e-44
6485,4.203895392974451e-44
6493,4.203895392974451e-44
6505,4.203895392974451e-44
6514,4.203895392974451e-44
6524,4.203895392974451e-44
6535,4.203895392974451e-44
6543,4.203895392974451e-44
6554,4.203895392974451e-44
6564,4.203895392974451e-44
6574,4.203895392974451e-44
6585,4.203895392974451e-44
6593,4.203895392974451e-44
6604,4.203895392974451e-44
6614,4.203895392974451e-44
6624,4.203895392974451e-44
6639,4.203895392974451e-44
6643,4.203895392974451e-44
6654,4.203895392974451e-44
6664,4.203895392974451e-44
6674,4.203895392974451e-44
6684,4.203895392974451e-44
6693,4.203895392974451e-44
6704,4.203895392974451e-44
6714,4.203895392974451e-44
6724,4.203895392974451e-44
6734,4.203895392974451e-44
6743,4.203895392974451e-44
6753,4.203895392974451e-44
6763,4.203895392974451e-44
6774,4.203895392974451e-44
6790,4.203895392974451e-44
6794,4.203895392974451e-44
6803,4.203895392974451e-44
6813,4.203895392974451e-44
6823,4.203895392974451e-44
6833,4.203895392974451e-44
6843,4.203895392974451e-44
6853,4.203895392974451e-44
6863,4.203895392974451e-44
6873,4.203895392974451e-44
6883,4.203895392974451e-44
6893,4.203895392974451e-44
6903,4.203895392974451e-44
6913,4.203895392974451e-44
6923,4.203895392974451e-44
6940,4.203895392974451e-44
6944,4.203895392974451e-44
6953,4.203895392974451e-44
6963,4.203895392974451e-44
6973,4.203895392974451e-44
6983,4.203895392974451e-44
6994,4.203895392974451e-44
7003,4.203895392974451e-44
7014,4.203895392974451e-44
7024,4.203895392974451e-44
7034,4.203895392974451e-44
7044,4.203895392974451e-44
7054,4.203895392974451e-44
7064,4.203895392974451e-44
7074,4.203895392974451e-44
7084,4.203895392974451e-44
7094,4.203895392974451e-44
7104,4.203895392974451e-44
7114,4.203895392974451e-44
7124,4.203895392974451e-44
7139,4.203895392974451e-44
7144,4.203895392974451e-44
7154,4.203895392974451e-44
7164,4.203895392974451e-44
7174,4.203895392974451e-44
7184,4.203895392974451e-44
7194,4.203895392974451e-44
7204,4.203895392974451e-44
7214,4.203895392974451e-44
7224,4.203895392974451e-44
7234,4.203895392974451e-44
7244,4.203895392974451e-44
7254,4.203895392974451e-44
7264,4.203895392974451e-44
7274,4.203895392974451e-44
7290,4.203895392974451e-44
7294,4.203895392974451e-44
7304,4.203895392974451e-44
7314,4.203895392974451e-44
7324,4.203895392974451e-44
7334,4.203895392974451e-44
7344,4.203895392974451e-44
7354,4.203895392974451e-44
7364,4.203895392974451e-44
7374,4.203895392974451e-44
7385,4.203895392974451e-44
7394,4.203895392974451e-44
7404,4.203895392974451e-44
7414,4.203895392974451e-44
7424,4.203895392974451e-44
7434,4.203895392974451e-44
7445,4.203895392974451e-44
7454,4.203895392974451e-44
7464,4.203895392974451e-44
7474,4.203895392974451e-44
7487,4.203895392974451e-44
7495,4.203895392974451e-44
7504,4.203895392974451e-44
7514,4.203895392974451e-44
7525,4.203895392974451e-44
7535,4.203895392974451e-44
7545,4.203895392974451e-44
7555,4.203895392974451e-44
7565,4.203895392974451e-44
7575,4.203895392974451e-44
7585,4.203895392974451e-44
7595,4.203895392974451e-44
7605,4.203895392974451e-44
7615,4.203895392974451e-44
7625,4.203895392974451e-44
7638,4.203895392974451e-44
7645,4.203895392974451e-44
7655,4.203895392974451e-44
7665,4.203895392974451e-44
7675,4.203895392974451e-44
7686,4.203895392974451e-44
7695,4.203895392974451e-44
7705,4.203895392974451e-44
7715,4.203895392974451e-44
