Timestamp (ms),F_IMU_GRAVITY_Y
5185,2.2899999618530273
5194,2.2899999618530273
5205,2.2899999618530273
5215,2.2899999618530273
5225,2.2899999618530273
5225,2.2899999618530273
5238,2.2899999618530273
5244,2.2899999618530273
5255,2.2899999618530273
5265,2.2899999618530273
5275,2.2899999618530273
5286,2.2899999618530273
5293,2.2899999618530273
5305,2.2899999618530273
5316,2.2899999618530273
5326,2.2899999618530273
5326,2.2899999618530273
5337,2.2899999618530273
5345,2.2899999618530273
5355,2.2899999618530273
5366,2.2899999618530273
5376,2.2899999618530273
5376,2.2899999618530273
5386,2.2899999618530273
5394,2.2899999618530273
5406,2.2899999618530273
5416,2.2899999618530273
5426,2.2899999618530273
5426,2.2899999618530273
5438,2.2899999618530273
5444,2.2899999618530273
5456,2.2899999618530273
5466,2.2899999618530273
5476,2.2899999618530273
5487,2.2899999618530273
5493,2.2899999618530273
5506,2.2899999618530273
5516,2.2899999618530273
5526,2.2899999618530273
5526,2.2899999618530273
5537,2.2899999618530273
5544,2.2899999618530273
5556,2.2899999618530273
5566,2.2899999618530273
5576,2.2899999618530273
5576,2.2899999618530273
5587,2.2899999618530273
5593,2.2899999618530273
5606,2.2899999618530273
5616,2.2899999618530273
5626,2.2899999618530273
5626,2.2899999618530273
5637,2.2899999618530273
5644,2.2899999618530273
5656,2.2899999618530273
5666,2.2899999618530273
5676,2.2899999618530273
5689,2.2899999618530273
5693,2.2899999618530273
5706,2.2899999618530273
5716,2.2899999618530273
5726,2.2899999618530273
5726,2.2899999618530273
5738,2.2899999618530273
5744,2.2899999618530273
5756,2.2899999618530273
5766,2.2899999618530273
5776,2.2899999618530273
5776,2.2899999618530273
5787,2.2899999618530273
5793,2.2899999618530273
5806,2.2899999618530273
5816,2.2899999618530273
5826,2.2899999618530273
5826,2.2899999618530273
5838,2.2899999618530273
5843,2.2899999618530273
5856,2.2899999618530273
5866,2.2899999618530273
5876,2.2899999618530273
5876,2.2899999618530273
5888,2.2899999618530273
5893,2.2899999618530273
5906,2.2899999618530273
5916,2.2899999618530273
5926,2.2899999618530273
5926,2.2899999618530273
5940,2.2899999618530273
5944,2.2899999618530273
5957,2.2899999618530273
5966,2.2899999618530273
