Timestamp (ms),INT_STRAIN6
5169,9
5170,10
5170,10
5170,8
5170,10
5170,9
5170,10
5170,10
5170,8
5170,10
5170,9
5171,10
5171,9
5171,8
5171,9
5171,9
5171,10
5171,10
5171,8
5171,9
5172,10
5172,10
5172,9
5172,8
5172,8
5172,10
5172,8
5172,10
5172,11
5172,8
5173,10
5173,10
5173,10
5173,9
5173,10
5173,10
5173,10
5173,10
5173,9
5174,8
5174,10
5174,10
5174,10
5174,10
5174,8
5174,10
5174,10
5174,10
5174,10
5175,8
5175,10
5175,10
5175,10
5175,10
5175,8
5175,10
5175,9
5175,10
5176,9
5176,8
5176,10
5176,9
5176,10
5176,10
5176,8
5176,10
5176,9
5177,10
5177,10
5177,8
5177,9
5177,9
5177,10
5177,10
5177,8
5177,9
5177,8
5178,12
5178,9
5178,8
5178,9
5178,8
5178,10
5178,9
5178,10
5178,9
5179,8
5179,10
5179,10
5179,9
5179,10
5179,8
5179,10
5179,9
5186,8
5186,10
5186,9
5186,10
5186,10
5186,8
5186,10
5187,9
5187,10
5187,10
5187,8
5187,9
5187,9
5187,10
5187,9
5187,8
5188,9
5188,8
5188,10
5188,10
5188,9
5188,9
5188,9
5188,10
5188,10
5188,9
5189,9
5189,8
5189,10
5189,10
5189,10
5189,9
5189,8
5194,10
5194,9
5194,8
5195,11
5195,9
5195,10
5195,9
5195,9
5195,11
5195,9
5195,10
5195,10
5196,8
5196,10
5196,9
5196,10
5196,9
5196,8
5196,10
5196,9
5196,10
5196,10
5197,8
5197,10
5197,9
5197,10
5197,10
5197,8
5197,10
5197,9
5197,10
5198,10
5198,8
5198,9
5198,9
5198,10
5198,10
5198,8
5198,9
5198,9
5199,10
5199,10
5199,8
5199,8
5199,10
5199,11
5199,10
5199,7
5206,10
5206,8
5206,9
5206,8
5206,10
5206,10
5206,9
5206,10
5207,9
5207,10
5207,10
5207,9
5207,10
5207,8
5207,10
5207,10
5207,10
5208,10
5208,8
5208,10
5208,10
5208,10
5208,10
5208,8
5208,10
5208,10
5208,10
5209,10
5209,8
5209,10
5209,10
5209,10
5209,10
5209,8
5216,11
5216,9
5216,8
5216,10
5216,9
5216,10
5216,10
5216,8
5217,9
5217,9
5217,10
5217,9
5217,8
5217,10
5217,9
5217,10
5217,10
5218,8
5218,9
5218,9
5218,10
5218,10
5218,8
5218,9
5218,8
5218,10
5218,10
5219,9
5219,9
5219,8
5219,11
5219,10
5219,9
5219,10
5235,8
5239,8
5239,10
5239,10
5239,10
5239,10
5245,10
5245,8
5245,10
5245,10
5245,10
5245,9
5245,8
5245,10
5245,10
5246,10
5246,10
5246,8
5246,9
5246,10
5246,10
5246,10
5246,8
5246,9
5247,10
5247,9
5247,10
5247,9
5247,9
5247,10
5247,9
5247,9
5247,9
5248,9
5248,11
5248,9
5248,10
5248,9
5248,8
5248,11
5248,9
5248,10
5248,9
5249,8
5249,11
5249,10
5249,10
5249,9
5249,8
5249,11
5256,9
5256,10
5256,8
5256,10
5256,10
5256,10
5256,10
5257,8
5257,10
5257,10
5257,10
5257,10
5257,8
5257,9
5257,10
5257,9
5257,10
5258,8
5258,9
5258,10
5258,10
5258,10
5258,9
5258,8
5258,11
5258,9
5259,10
5259,10
5259,8
5259,10
5259,9
5259,10
5259,7
5259,8
5266,9
5266,10
5266,8
5266,9
5266,10
5266,10
5267,10
5267,8
5267,9
5267,10
5267,9
5267,10
5267,9
5267,9
5267,11
5267,9
5268,10
5268,9
5268,8
5268,10
5268,9
5268,10
5268,10
5268,8
5268,10
5269,9
5269,10
5269,10
5269,8
5269,10
5269,9
5269,10
5269,10
5281,10
5287,9
5287,9
5287,10
5287,10
5287,8
5287,9
5287,8
5287,10
5287,10
5288,8
5288,9
5288,8
5288,10
5288,10
5288,8
5288,9
5288,9
5288,10
5289,10
5289,8
5289,9
5289,8
5289,11
5289,10
5289,8
5289,9
5293,8
5293,10
5294,9
5294,10
5294,10
5294,8
5294,10
5294,9
5294,10
5294,10
5294,8
5295,10
5295,9
5295,10
5295,10
5295,7
5295,10
5295,9
5295,10
5295,10
5295,8
5296,9
5296,9
5296,10
5296,10
5296,8
5296,9
5296,9
5296,10
5296,10
5297,8
5297,9
5297,10
5297,10
5297,10
5297,8
5297,9
5297,10
5297,10
5297,9
5298,9
5298,9
5298,10
5298,10
5298,10
5298,8
5298,9
5298,10
5298,10
5299,10
5299,10
5299,9
5299,10
5299,9
