Timestamp (ms),INT_STRAIN1
5169,7
5169,6
5170,7
5170,7
5170,9
5170,7
5170,5
5170,7
5170,8
5170,9
5170,8
5170,6
5171,8
5171,7
5171,9
5171,8
5171,6
5171,8
5171,7
5171,9
5171,9
5172,6
5172,7
5172,7
5172,9
5172,9
5172,6
5172,8
5172,6
5172,9
5172,9
5173,6
5173,8
5173,6
5173,9
5173,9
5173,6
5173,7
5173,6
5173,9
5174,9
5174,7
5174,8
5174,5
5174,9
5174,9
5174,7
5174,8
5174,5
5175,9
5175,10
5175,7
5175,8
5175,6
5175,9
5175,9
5175,7
5175,10
5175,6
5176,8
5176,9
5176,7
5176,10
5176,5
5176,8
5176,10
5176,8
5176,9
5177,5
5177,8
5177,9
5177,7
5177,10
5177,5
5177,7
5177,10
5177,9
5177,10
5178,6
5178,7
5178,9
5178,8
5178,9
5178,6
5178,6
5178,9
5178,8
5179,9
5179,7
5179,6
5179,9
5179,8
5179,10
5179,6
5186,7
5186,9
5186,7
5186,9
5186,5
5186,7
5186,9
5186,8
5187,9
5187,5
5187,7
5187,9
5187,9
5187,10
5187,5
5187,7
5187,10
5188,8
5188,10
5188,5
5188,5
5188,10
5188,8
5188,10
5188,7
5188,6
5188,9
5189,8
5189,10
5189,6
5189,6
5189,9
5189,8
5194,8
5194,7
5194,8
5194,9
5195,5
5195,7
5195,7
5195,9
5195,9
5195,6
5195,7
5195,7
5195,9
5196,10
5196,7
5196,7
5196,7
5196,8
5196,10
5196,7
5196,6
5196,7
5197,8
5197,9
5197,7
5197,6
5197,7
5197,9
5197,10
5197,8
5197,6
5197,7
5198,7
5198,9
5198,9
5198,6
5198,8
5198,7
5198,9
5198,9
5198,6
5199,8
5199,6
5199,9
5199,9
5199,6
5199,8
5199,6
5206,5
5206,6
5206,9
5206,9
5206,9
5206,5
5206,6
5206,9
5206,8
5207,10
5207,6
5207,6
5207,9
5207,8
5207,10
5207,7
5207,6
5207,9
5208,8
5208,9
5208,8
5208,6
5208,9
5208,8
5208,9
5208,8
5208,5
5209,8
5209,8
5209,9
5209,9
5209,5
5209,8
5209,7
5216,9
5216,5
5216,8
5216,9
5216,7
5216,9
5216,5
5216,8
5216,9
5217,7
5217,9
5217,5
5217,7
5217,9
5217,8
5217,10
5217,5
5217,8
5218,9
5218,9
5218,10
5218,7
5218,7
5218,9
5218,9
5218,9
5218,6
5218,7
5219,9
5219,9
5219,10
5219,6
5219,7
5219,9
5235,8
5239,7
5239,9
5239,7
5239,5
5239,9
5245,8
5245,7
5245,9
5245,7
5245,6
5245,9
5245,7
5245,10
5245,8
5246,5
5246,8
5246,7
5246,9
5246,9
5246,5
5246,8
5246,8
5246,10
5246,10
5247,5
5247,8
5247,7
5247,9
5247,10
5247,6
5247,7
5247,6
5247,9
5248,9
5248,6
5248,7
5248,7
5248,9
5248,9
5248,6
5248,7
5248,7
5248,9
5249,9
5249,6
5249,7
5249,7
5249,9
5249,10
5256,5
5256,7
5256,7
5256,9
5256,7
5256,6
5256,8
5256,7
5257,9
5257,8
5257,5
5257,8
5257,7
5257,9
5257,9
5257,5
5257,8
5258,8
5258,9
5258,9
5258,6
5258,8
5258,7
5258,9
5258,9
5258,6
5258,8
5259,7
5259,9
5259,9
5259,6
5259,7
5259,7
5259,9
5266,5
5266,8
5266,7
5266,9
5266,9
5266,6
5266,8
5267,7
5267,9
5267,9
5267,5
5267,8
5267,7
5267,9
5267,9
5267,5
5267,8
5268,7
5268,9
5268,9
5268,6
5268,7
5268,7
5268,9
5268,9
5268,6
5269,7
5269,7
5269,8
5269,10
5269,7
5269,7
5269,7
5280,8
5287,9
5287,8
5287,9
5287,5
5287,7
5287,9
5287,8
5287,10
5287,5
5288,7
5288,9
5288,6
5288,9
5288,4
5288,7
5288,9
5288,9
5288,10
5288,6
5289,7
5289,9
5289,8
5289,10
5289,6
5289,7
5289,9
5293,7
5293,9
5293,6
5294,6
5294,7
5294,7
5294,9
5294,7
5294,6
5294,7
5294,8
5294,9
5295,7
5295,5
5295,7
5295,7
5295,9
5295,8
5295,6
5295,8
5295,7
5295,10
5296,9
5296,7
5296,7
5296,7
5296,10
5296,9
5296,6
5296,7
5296,7
5297,9
5297,9
5297,6
5297,7
5297,8
5297,10
5297,9
5297,6
5297,7
5298,6
5298,9
5298,9
5298,6
5298,8
5298,6
5298,9
5298,8
5298,6
5298,8
5299,6
5299,9
5299,9
5299,6
5299,8
5299,6
5299,9
5306,7
5306,7
5306,8
5306,9
5306,6
5306,6
5306,7
5307,8
5307,9
5307,7
5307,6
5307,6
5307,8
5307,10
5307,7
5307,6
5307,7
5308,8
5308,10
5308,7
5308,7
5308,8
5308,8
5308,10
5308,9
5308,6
5309,8
5309,7
5309,9
5309,9
5309,6
5309,7
5309,7
5316,7
5316,9
5316,9
5316,5
5316,8
5316,7
5317,9
5317,9
5317,5
5317,8
5317,7
5317,9
5317,9
5317,5
5317,7
5318,7
5318,9
5318,9
5318,5
5318,7
5318,7
5318,9
5318,9
5318,6
5319,7
5319,7
5319,9
5319,9
5319,6
5319,7
5319,7
5331,7
5337,8
5337,5
5337,8
5337,7
5337,9
5338,8
5338,5
5338,8
5338,7
5338,9
5338,8
5338,5
5338,8
5338,7
5338,9
5339,9
5339,5
5339,8
5339,7
5339,9
5339,9
5339,5
5345,9
5345,5
5345,7
5345,9
5345,8
5346,9
5346,5
5346,7
5346,9
5346,8
5346,10
5346,4
5346,7
5346,9
5346,8
5347,10
5347,6
5347,6
5347,9
5347,8
5347,9
5347,6
5347,6
5347,9
5348,8
5348,10
5348,7
5348,6
5348,9
5348,8
5348,9
5348,7
5348,6
5348,9
5349,8
5349,10
5349,8
5349,5
5349,8
5349,8
5356,9
5356,7
5356,9
5356,5
5356,7
5356,8
5357,8
5357,10
5357,5
5357,7
5357,9
5357,9
5357,9
5357,5
5357,7
5358,9
5358,9
5358,10
5358,5
5358,7
5358,9
5358,8
5358,10
5358,5
5358,8
5359,9
5359,9
5359,9
5359,6
5359,7
5359,9
5359,9
5366,5
5366,8
5366,9
5366,7
5366,10
5367,5
5367,8
5367,9
5367,8
5367,9
5367,5
5367,7
5367,9
5367,8
5367,8
5368,5
5368,7
5368,9
5368,9
5368,10
5368,5
5368,7
5368,9
5368,8
5369,10
5369,5
5369,7
5369,9
5369,8
5369,10
5369,6
5381,6
5387,9
5387,5
5387,7
5387,9
5387,8
5387,9
5387,6
5388,6
5388,9
5388,8
5388,9
5388,6
5388,7
5388,9
5388,8
5388,10
5389,7
5389,6
5389,9
5389,8
5389,9
5389,8
5389,5
5395,8
5395,6
5395,7
5395,6
5395,9
5395,9
5395,5
5395,7
5395,6
5396,9
5396,9
5396,6
5396,8
5396,6
5396,9
5396,9
5396,6
5396,8
5396,6
5397,9
5397,9
5397,6
5397,8
5397,6
5397,9
5397,9
5397,7
5397,8
5398,5
5398,9
5398,10
5398,7
5398,9
5398,5
5398,8
5398,9
5398,8
5398,10
5399,5
5399,7
5399,9
5399,9
5399,10
5399,6
5406,8
5406,9
5406,6
5406,8
5406,5
5406,8
5407,9
5407,7
5407,8
5407,5
5407,8
5407,9
5407,7
5407,9
5407,5
5408,7
5408,9
5408,8
5408,9
5408,5
5408,7
5408,9
5408,9
5408,9
5408,5
5409,7
5409,10
5409,8
5409,10
5409,5
5409,6
5416,8
5416,9
5416,5
5416,7
5416,7
5416,9
5417,9
5417,6
5417,7
5417,7
5417,9
5417,10
5417,6
5417,7
5417,7
5418,9
5418,9
5418,6
5418,7
5418,7
5418,9
5418,9
5418,7
5418,7
5419,7
5419,8
5419,10
5419,7
5419,7
5419,7
5419,7
5434,7
5438,8
5439,9
5439,6
5439,7
5439,6
5439,9
5439,9
5439,6
5445,9
5445,8
5445,6
5445,7
5445,7
5445,9
5446,9
5446,6
5446,7
5446,7
5446,9
5446,9
5446,6
5446,7
5446,7
5447,9
5447,9
5447,6
5447,8
5447,6
5447,9
5447,9
5447,6
5447,8
5447,6
5448,9
5448,9
5448,6
5448,8
5448,6
5448,9
5448,9
5448,7
5448,8
5449,6
5449,9
5449,9
5449,7
5449,9
5449,6
5449,9
5456,7
5456,7
5456,9
5456,9
5457,6
5457,7
5457,7
5457,9
5457,11
5457,6
5457,7
5457,7
5457,8
5457,10
5458,6
5458,7
5458,7
5458,9
5458,10
5458,7
5458,7
5458,7
5458,9
5459,10
5459,7
5459,6
5459,7
5459,8
5459,9
5459,7
5466,8
5466,8
5466,7
5466,9
5467,5
5467,7
5467,9
5467,7
5467,8
5467,5
5467,7
5467,9
5467,7
5468,10
5468,5
5468,8
5468,9
5468,8
5468,10
5468,5
5468,7
5468,9
5468,9
5469,10
5469,5
5469,7
5469,9
5469,9
5469,9
5481,9
5487,9
5487,8
5487,9
5487,5
5488,7
5488,9
5488,7
5488,9
5488,5
5488,7
5488,9
5488,8
5488,10
5489,5
5489,7
5489,9
5489,8
5489,9
5489,6
5489,6
5494,6
5494,9
5494,9
5495,6
5495,7
5495,6
5495,9
5495,9
5495,6
5495,8
5495,6
5495,9
5496,9
5496,7
5496,8
5496,6
5496,9
5496,9
5496,7
5496,8
5496,5
5497,8
5497,9
5497,7
5497,9
5497,5
5497,8
5497,9
5497,7
5497,9
5497,5
5498,8
5498,9
5498,7
5498,9
5498,5
5498,8
5498,9
5498,8
5498,10
5499,5
5499,8
5499,9
5499,8
5499,9
5499,5
5499,7
5506,6
5506,8
5506,5
5507,9
