Timestamp (ms),F_IMU_GRAVITY_X
5185,-0.36000001430511475
5194,-0.36000001430511475
5205,-0.36000001430511475
5215,-0.36000001430511475
5225,-0.36000001430511475
5225,-0.36000001430511475
5238,-0.36000001430511475
5244,-0.36000001430511475
5255,-0.36000001430511475
5265,-0.36000001430511475
5275,-0.36000001430511475
5286,-0.36000001430511475
5293,-0.36000001430511475
5305,-0.36000001430511475
5316,-0.36000001430511475
5326,-0.36000001430511475
5326,-0.36000001430511475
5337,-0.36000001430511475
5345,-0.36000001430511475
5355,-0.36000001430511475
5366,-0.36000001430511475
5376,-0.36000001430511475
5376,-0.36000001430511475
5386,-0.36000001430511475
5394,-0.36000001430511475
5406,-0.36000001430511475
5416,-0.36000001430511475
5426,-0.36000001430511475
5426,-0.36000001430511475
5438,-0.36000001430511475
5444,-0.36000001430511475
5456,-0.36000001430511475
5466,-0.36000001430511475
5476,-0.36000001430511475
5487,-0.36000001430511475
5493,-0.36000001430511475
5506,-0.36000001430511475
5516,-0.36000001430511475
5526,-0.36000001430511475
5526,-0.36000001430511475
5537,-0.36000001430511475
5544,-0.36000001430511475
5556,-0.36000001430511475
5566,-0.36000001430511475
5576,-0.36000001430511475
5576,-0.36000001430511475
5587,-0.36000001430511475
5593,-0.36000001430511475
5606,-0.36000001430511475
5616,-0.36000001430511475
5626,-0.36000001430511475
5626,-0.36000001430511475
5637,-0.36000001430511475
5644,-0.36000001430511475
5656,-0.36000001430511475
5666,-0.36000001430511475
5676,-0.36000001430511475
5689,-0.36000001430511475
5693,-0.36000001430511475
5706,-0.36000001430511475
5716,-0.3700000047683716
5726,-0.3700000047683716
5726,-0.3700000047683716
5738,-0.3700000047683716
5744,-0.3700000047683716
5756,-0.36000001430511475
5766,-0.36000001430511475
5776,-0.3700000047683716
5776,-0.3700000047683716
5787,-0.3700000047683716
5793,-0.3700000047683716
5806,-0.3700000047683716
5816,-0.3700000047683716
5826,-0.3700000047683716
5826,-0.3700000047683716
5838,-0.3700000047683716
5843,-0.3700000047683716
5856,-0.3700000047683716
5866,-0.3700000047683716
5876,-0.3700000047683716
5876,-0.3700000047683716
5888,-0.3700000047683716
5893,-0.3700000047683716
5906,-0.3700000047683716
5916,-0.3700000047683716
5926,-0.3700000047683716
5926,-0.3700000047683716
5940,-0.36000001430511475
5944,-0.36000001430511475
5957,-0.36000001430511475
5966,-0.36000001430511475
5976,-0.36000001430511475
5988,-0.36000001430511475
5993,-0.36000001430511475
6007,-0.36000001430511475
6016,-0.36000001430511475
6026,-0.36000001430511475
6026,-0.36000001430511475
6038,-0.36000001430511475
6043,-0.36000001430511475
6056,-0.36000001430511475
6066,-0.36000001430511475
6076,-0.36000001430511475
6076,-0.36000001430511475
6088,-0.36000001430511475
6093,-0.36000001430511475
6105,-0.36000001430511475
6115,-0.36000001430511475
6125,-0.36000001430511475
6125,-0.36000001430511475
6138,-0.36000001430511475
6143,-0.36000001430511475
6155,-0.36000001430511475
6165,-0.36000001430511475
6175,-0.36000001430511475
6175,-0.36000001430511475
6188,-0.36000001430511475
6193,-0.36000001430511475
6205,-0.36000001430511475
6215,-0.36000001430511475
6225,-0.36000001430511475
6240,-0.36000001430511475
6244,-0.36000001430511475
6255,-0.36000001430511475
6265,-0.36000001430511475
6275,-0.36000001430511475
6275,-0.36000001430511475
6288,-0.36000001430511475
6293,-0.36000001430511475
6305,-0.36000001430511475
6314,-0.36000001430511475
6324,-0.36000001430511475
6324,-0.36000001430511475
6338,-0.36000001430511475
6343,-0.36000001430511475
6354,-0.36000001430511475
6364,-0.36000001430511475
