Timestamp (ms),F_IMU_ACCEL_Y
5185,-0.019999999552965164
5194,-0.019999999552965164
5205,-0.03999999910593033
5215,-0.029999999329447746
5225,-0.11999999731779099
5238,-0.019999999552965164
5244,-0.019999999552965164
5255,-0.009999999776482582
5265,-0.05999999865889549
5275,-0.05000000074505806
5286,-0.05999999865889549
5293,-0.019999999552965164
5305,-0.03999999910593033
5316,-0.009999999776482582
5326,0.0
5337,0.0
5345,-0.03999999910593033
5355,-0.03999999910593033
5366,0.0
5376,-0.009999999776482582
5386,-0.009999999776482582
5394,0.0
5406,0.0
5416,0.0
5426,0.0
5438,-0.019999999552965164
5444,-0.019999999552965164
5456,-0.029999999329447746
5466,-0.009999999776482582
5476,0.0
5487,0.0
5493,-0.019999999552965164
5506,-0.029999999329447746
5516,-0.009999999776482582
5526,0.0
5537,0.0
5544,0.0
5556,-0.029999999329447746
5566,-0.03999999910593033
5576,-0.05000000074505806
5587,0.0
5593,-0.009999999776482582
5606,0.0
5616,-0.029999999329447746
5626,-0.05000000074505806
5637,-0.009999999776482582
5644,0.07999999821186066
5656,0.0
5666,0.009999999776482582
5676,0.009999999776482582
5689,-0.019999999552965164
5693,-0.019999999552965164
5706,-0.05000000074505806
5716,-0.25999999046325684
5726,0.009999999776482582
5738,0.17000000178813934
5744,-0.14000000059604645
5756,-0.20000000298023224
5766,-0.019999999552965164
5776,0.10999999940395355
5787,0.12999999523162842
5793,0.12999999523162842
5806,-0.07999999821186066
5816,-0.25
5826,-0.1899999976158142
5838,-0.11999999731779099
5843,0.14000000059604645
5856,0.14000000059604645
5866,0.10999999940395355
5876,-0.10999999940395355
5888,-0.10999999940395355
5893,-0.09000000357627869
5906,0.0
5916,-0.009999999776482582
5926,0.0
5940,0.10000000149011612
5944,0.10000000149011612
5957,-0.10999999940395355
5966,0.0
5976,0.029999999329447746
5988,0.05999999865889549
5993,-0.009999999776482582
6007,-0.009999999776482582
6016,-0.10000000149011612
6026,-0.009999999776482582
6038,0.0
6043,0.029999999329447746
6056,0.009999999776482582
6066,-0.009999999776482582
6076,-0.03999999910593033
6088,-0.019999999552965164
6093,-0.019999999552965164
6105,-0.019999999552965164
6115,0.029999999329447746
6125,-0.009999999776482582
6138,0.0
6143,0.029999999329447746
6155,0.07000000029802322
6165,-0.1599999964237213
6175,-0.07999999821186066
6188,-0.07000000029802322
6193,0.0
6205,0.029999999329447746
6215,0.05000000074505806
6225,-0.05999999865889549
6240,-0.07999999821186066
6244,-0.09000000357627869
6255,0.0
6265,0.0
6275,0.019999999552965164
6288,-0.009999999776482582
6293,-0.07000000029802322
6305,-0.019999999552965164
6314,0.0
6324,0.009999999776482582
6338,0.0
6343,-0.019999999552965164
6354,-0.05999999865889549
6364,-0.03999999910593033
6374,0.07000000029802322
6387,-0.009999999776482582
6393,0.0
6404,-0.07000000029802322
6414,-0.03999999910593033
6424,-0.05999999865889549
6439,0.03999999910593033
6443,-0.07000000029802322
6454,-0.05999999865889549
6464,-0.029999999329447746
6474,0.0
6484,0.019999999552965164
6493,-0.009999999776482582
6504,0.0
6514,-0.019999999552965164
6524,0.0
6534,-0.029999999329447746
6543,-0.009999999776482582
6553,-0.019999999552965164
6563,-0.009999999776482582
6573,-0.05000000074505806
6584,-0.019999999552965164
6593,-0.05000000074505806
6603,-0.019999999552965164
6613,0.0
6623,-0.009999999776482582
6639,-0.029999999329447746
6643,-0.009999999776482582
6653,-0.009999999776482582
6663,-0.009999999776482582
6673,-0.029999999329447746
6683,-0.009999999776482582
6693,-0.029999999329447746
6703,-0.03999999910593033
6713,-0.019999999552965164
6723,-0.009999999776482582
6733,0.0
6743,0.009999999776482582
6753,-0.019999999552965164
6763,-0.009999999776482582
6773,-0.029999999329447746
6789,-0.03999999910593033
6794,-0.03999999910593033
6803,-0.009999999776482582
6813,-0.029999999329447746
6823,-0.019999999552965164
6833,-0.019999999552965164
6843,-0.029999999329447746
6853,0.0
6863,-0.019999999552965164
6873,-0.019999999552965164
6883,-0.019999999552965164
6893,-0.029999999329447746
6903,-0.029999999329447746
6913,0.0
6923,0.0
6939,0.0
6944,-0.009999999776482582
6953,-0.009999999776482582
6963,-0.019999999552965164
6973,-0.019999999552965164
6983,-0.029999999329447746
6993,0.0
7003,-0.029999999329447746
7013,-0.009999999776482582
7023,0.0
7033,0.0
7043,-0.019999999552965164
