Timestamp (ms),INT_STRAIN4
5169,10
5169,10
5170,10
5170,9
5170,10
5170,10
5170,10
5170,10
5170,9
5170,10
5170,10
5171,10
5171,10
5171,9
5171,10
5171,10
5171,10
5171,10
5171,8
5171,10
5171,9
5172,10
5172,10
5172,9
5172,9
5172,9
5172,11
5172,10
5172,9
5172,9
5173,9
5173,10
5173,10
5173,9
5173,9
5173,9
5173,11
5173,10
5173,9
5174,10
5174,9
5174,10
5174,10
5174,9
5174,10
5174,8
5174,10
5174,10
5174,9
5175,10
5175,7
5175,10
5175,11
5175,10
5175,10
5175,8
5175,10
5175,10
5176,10
5176,10
5176,8
5176,10
5176,10
5176,10
5176,10
5176,9
5176,10
5176,10
5177,10
5177,10
5177,8
5177,10
5177,11
5177,10
5177,10
5177,9
5177,9
5178,11
5178,10
5178,10
5178,9
5178,9
5178,11
5178,10
5178,12
5178,9
5178,9
5179,11
5179,10
5179,10
5179,9
5179,9
5179,11
5179,9
5186,10
5186,8
5186,10
5186,10
5186,10
5186,10
5186,8
5187,10
5187,11
5187,10
5187,10
5187,9
5187,10
5187,10
5187,10
5187,10
5187,9
5188,9
5188,11
5188,10
5188,10
5188,9
5188,9
5188,11
5188,10
5188,10
5189,10
5189,8
5189,10
5189,9
5189,10
5189,10
5189,9
5194,10
5194,9
5194,9
5195,10
5195,10
5195,10
5195,9
5195,9
5195,10
5195,10
5195,10
5195,10
5196,9
5196,10
5196,10
5196,10
5196,10
5196,9
5196,10
5196,10
5196,10
5196,10
5197,9
5197,9
5197,9
5197,10
5197,10
5197,9
5197,10
5197,10
5197,10
5198,10
5198,8
5198,10
5198,9
5198,11
5198,10
5198,9
5198,10
5198,10
5198,11
5199,9
5199,9
5199,10
5199,9
5199,10
5199,10
5199,8
5206,10
5206,10
5206,9
5206,8
5206,11
5206,10
5206,10
5206,8
5207,9
5207,10
5207,10
5207,10
5207,10
5207,9
5207,11
5207,9
5207,10
5207,10
5208,9
5208,11
5208,10
5208,10
5208,10
5208,9
5208,10
5208,10
5208,10
5209,10
5209,9
5209,10
5209,9
5209,10
5209,10
5209,9
5216,11
5216,9
5216,10
5216,9
5216,9
5216,10
5216,10
5216,10
5217,9
5217,10
5217,10
5217,10
5217,10
5217,8
5217,9
5217,10
5217,10
5217,10
5218,8
5218,10
5218,10
5218,10
5218,10
5218,9
5218,10
5218,10
5218,10
5219,11
5219,9
5219,9
5219,11
5219,9
5219,9
5219,9
5235,9
5239,8
5239,10
5239,10
5239,10
5239,9
5245,9
5245,9
5245,10
5245,9
5245,10
5245,10
5245,9
5245,11
5245,10
5246,10
5246,10
5246,9
5246,10
5246,9
5246,10
5246,10
5246,9
5246,9
5247,9
5247,10
5247,10
5247,9
5247,10
5247,10
5247,11
5247,10
5247,9
5247,9
5248,9
5248,10
5248,10
5248,9
5248,10
5248,10
5248,10
5248,10
5248,9
5249,9
5249,10
5249,10
5249,10
5249,9
5249,9
5249,10
5256,10
5256,9
5256,9
5256,11
5256,9
5256,10
5256,10
5256,9
5257,10
5257,9
5257,10
5257,10
5257,9
5257,10
5257,9
5257,10
5257,10
5258,8
5258,10
5258,10
5258,10
5258,11
5258,9
5258,9
5258,10
5258,10
5259,10
5259,9
5259,9
5259,9
5259,10
5259,10
5259,9
5259,9
5266,10
5266,10
5266,9
5266,10
5266,9
5266,10
5266,10
5267,9
5267,10
5267,10
5267,10
5267,10
5267,9
5267,10
5267,9
5267,10
5268,10
5268,9
5268,9
5268,10
5268,10
5268,10
5268,9
5268,9
5268,10
5269,10
5269,10
5269,9
5269,9
5269,11
5269,10
5269,10
5269,10
5281,10
5287,9
5287,10
5287,10
5287,10
5287,10
5287,9
5287,10
5287,11
5287,10
5288,10
5288,9
5288,10
5288,10
5288,10
5288,10
5288,9
5288,9
5288,11
5289,10
5289,10
5289,9
5289,9
5289,11
5289,10
5289,10
5289,8
5293,9
5293,10
5294,10
5294,10
5294,10
5294,8
5294,10
5294,10
5294,10
5294,9
5294,8
5294,10
5295,10
5295,10
5295,10
5295,9
5295,10
5295,10
5295,11
5295,10
5295,8
5296,10
5296,10
5296,10
5296,10
5296,9
5296,10
5296,9
5296,10
5296,10
5296,9
5297,10
5297,9
5297,11
5297,9
5297,9
5297,10
5297,9
5297,10
5297,10
5298,9
5298,9
5298,9
5298,10
5298,10
5298,9
5298,10
5298,9
5298,10
5299,9
5299,9
5299,9
5299,9
5299,11
5299,10
5299,9
5299,10
5306,9
5306,9
5306,10
5306,10
5306,11
5306,10
5306,9
5307,9
5307,10
5307,10
5307,11
5307,10
5307,9
5307,10
5307,10
5307,10
5308,10
5308,8
5308,10
5308,10
5308,10
5308,9
5308,9
5308,10
5308,10
5308,10
5309,10
5309,9
5309,10
5309,10
5309,10
5309,10
5309,9
5316,9
5316,10
5316,9
5316,11
5316,10
5317,9
5317,10
5317,10
5317,10
5317,10
5317,9
5317,9
5317,10
5317,10
5317,10
5318,9
5318,9
5318,10
5318,10
5318,10
5318,9
5318,9
5318,10
5318,10
5319,10
5319,9
5319,9
5319,10
5319,10
5319,10
5319,9
5331,11
5337,9
5337,10
5337,10
5337,9
5337,10
5338,10
5338,10
5338,10
5338,8
5338,10
5338,9
5338,10
5338,10
5338,9
5339,10
5339,9
5339,10
5339,10
5339,8
5339,9
5339,9
5339,10
5345,10
5345,10
5345,10
5345,9
5345,10
5346,10
5346,10
5346,11
5346,9
5346,10
5346,11
5346,10
5346,10
5346,9
5347,9
5347,11
5347,10
5347,10
5347,9
5347,9
5347,11
5347,9
5347,10
5347,9
5348,8
5348,11
5348,10
5348,10
5348,9
5348,9
5348,11
5348,10
5348,10
5349,10
5349,8
5349,10
5349,10
5349,9
5349,10
5349,9
5356,8
5356,10
5356,10
5356,10
5356,10
5357,9
5357,10
5357,10
5357,10
5357,10
5357,8
5357,10
5357,11
5357,10
5357,10
5358,8
5358,10
5358,10
5358,9
5358,10
5358,8
5358,9
5358,10
5358,10
5359,10
5359,9
5359,9
5359,10
5359,10
5359,10
5359,9
5359,10
5366,10
5366,10
5366,9
5366,10
5366,10
5367,10
5367,10
5367,9
5367,10
5367,11
5367,10
5367,10
5367,9
5367,10
5368,11
5368,10
5368,10
5368,9
5368,10
5368,11
5368,10
5368,10
5368,9
5368,9
5369,11
5369,10
5369,10
5369,9
5369,9
5369,10
5369,10
5381,10
