Timestamp (ms),F_IMU_GRAVITY_Z
5185,9.520000457763672
5194,9.520000457763672
5205,9.520000457763672
5215,9.520000457763672
5225,9.520000457763672
5225,9.520000457763672
5238,9.520000457763672
5244,9.520000457763672
5255,9.520000457763672
5265,9.520000457763672
5275,9.520000457763672
5286,9.520000457763672
5293,9.520000457763672
5305,9.520000457763672
5316,9.520000457763672
5326,9.520000457763672
5326,9.520000457763672
5337,9.520000457763672
5345,9.520000457763672
5355,9.520000457763672
5366,9.520000457763672
5376,9.520000457763672
5386,9.520000457763672
5394,9.520000457763672
5406,9.520000457763672
5416,9.520000457763672
5426,9.520000457763672
5438,9.520000457763672
5444,9.520000457763672
5456,9.520000457763672
5466,9.520000457763672
5476,9.520000457763672
5487,9.520000457763672
5493,9.520000457763672
5506,9.520000457763672
5516,9.520000457763672
5526,9.520000457763672
5537,9.520000457763672
5544,9.520000457763672
5556,9.520000457763672
5566,9.520000457763672
5576,9.520000457763672
5576,9.520000457763672
5587,9.520000457763672
5593,9.520000457763672
5606,9.520000457763672
5616,9.520000457763672
5626,9.520000457763672
5626,9.520000457763672
5637,9.520000457763672
5644,9.520000457763672
5656,9.520000457763672
5666,9.520000457763672
5676,9.520000457763672
5689,9.520000457763672
5693,9.520000457763672
5706,9.520000457763672
5716,9.520000457763672
5726,9.520000457763672
5738,9.520000457763672
5744,9.520000457763672
5756,9.520000457763672
5766,9.520000457763672
5776,9.520000457763672
5776,9.520000457763672
5787,9.520000457763672
5793,9.520000457763672
5806,9.520000457763672
5816,9.520000457763672
5826,9.520000457763672
5826,9.520000457763672
5838,9.520000457763672
5843,9.520000457763672
5856,9.520000457763672
5866,9.520000457763672
5876,9.520000457763672
5876,9.520000457763672
5888,9.520000457763672
5893,9.520000457763672
5906,9.520000457763672
5916,9.520000457763672
5926,9.520000457763672
5926,9.520000457763672
5940,9.520000457763672
5944,9.520000457763672
5957,9.520000457763672
5966,9.520000457763672
5976,9.520000457763672
5988,9.520000457763672
5993,9.520000457763672
6007,9.520000457763672
6016,9.520000457763672
6026,9.520000457763672
6038,9.520000457763672
6043,9.520000457763672
6056,9.520000457763672
6066,9.520000457763672
6076,9.520000457763672
6076,9.520000457763672
6088,9.520000457763672
6093,9.520000457763672
6105,9.520000457763672
6115,9.520000457763672
6125,9.520000457763672
6138,9.520000457763672
6143,9.520000457763672
6155,9.520000457763672
6165,9.520000457763672
6175,9.520000457763672
6175,9.520000457763672
6188,9.520000457763672
6193,9.520000457763672
6205,9.520000457763672
6215,9.520000457763672
6225,9.520000457763672
6240,9.520000457763672
6244,9.520000457763672
6255,9.520000457763672
6265,9.520000457763672
6275,9.520000457763672
6275,9.520000457763672
6288,9.520000457763672
6293,9.520000457763672
6305,9.520000457763672
6314,9.520000457763672
6324,9.520000457763672
6324,9.520000457763672
6338,9.520000457763672
6343,9.520000457763672
6354,9.520000457763672
6364,9.520000457763672
6374,9.520000457763672
6374,9.520000457763672
6387,9.520000457763672
6393,9.520000457763672
6404,9.520000457763672
6414,9.520000457763672
6424,9.520000457763672
6439,9.520000457763672
6443,9.520000457763672
6454,9.520000457763672
6464,9.520000457763672
6474,9.520000457763672
6484,9.520000457763672
6493,9.520000457763672
6504,9.520000457763672
6514,9.520000457763672
6524,9.520000457763672
6534,9.520000457763672
6543,9.520000457763672
6553,9.520000457763672
6563,9.520000457763672
6573,9.520000457763672
6584,9.520000457763672
6593,9.520000457763672
