Timestamp (ms),INT_STRAIN5
5169,9
5169,9
5170,10
5170,10
5170,10
5170,10
5170,9
5170,10
5170,10
5170,8
5170,9
5171,9
5171,9
5171,9
5171,9
5171,9
5171,9
5171,9
5171,10
5171,9
5172,9
5172,9
5172,9
5172,9
5172,9
5172,10
5172,9
5172,10
5172,10
5172,10
5173,9
5173,10
5173,9
5173,10
5173,10
5173,9
5173,7
5173,9
5173,12
5174,8
5174,9
5174,9
5174,9
5174,10
5174,9
5174,10
5174,9
5174,9
5174,10
5175,10
5175,10
5175,9
5175,9
5175,10
5175,9
5175,10
5175,9
5175,9
5176,10
5176,10
5176,10
5176,9
5176,9
5176,10
5176,9
5176,9
5176,10
5176,9
5177,10
5177,9
5177,10
5177,11
5177,9
5177,9
5177,9
5177,10
5177,9
5178,9
5178,9
5178,9
5178,9
5178,9
5178,9
5178,9
5178,9
5178,9
5179,10
5179,11
5179,8
5179,9
5179,12
5179,9
5179,10
5179,13
5186,9
5186,14
5186,8
5186,9
5186,10
5186,15
5186,10
5187,9
5187,9
5187,9
5187,9
5187,10
5187,9
5187,9
5187,10
5187,9
5188,10
5188,9
5188,9
5188,9
5188,9
5188,10
5188,9
5188,9
5188,9
5188,9
5189,10
5189,9
5189,9
5189,9
5189,9
5189,10
5189,10
5194,14
5194,8
5194,10
5195,9
5195,9
5195,9
5195,11
5195,9
5195,9
5195,8
5195,9
5195,10
5196,9
5196,9
5196,8
5196,9
5196,10
5196,10
5196,8
5196,9
5196,9
5196,10
5197,10
5197,10
5197,9
5197,9
5197,10
5197,10
5197,8
5197,10
5197,9
5198,10
5198,10
5198,10
5198,9
5198,9
5198,9
5198,10
5198,10
5198,9
5198,9
5199,9
5199,10
5199,9
5199,10
5199,9
5199,9
5199,10
5206,15
5206,7
5206,10
5206,9
5206,9
5206,9
5206,10
5206,10
5207,9
5207,8
5207,10
5207,9
5207,10
5207,10
5207,9
5207,9
5207,9
5208,10
5208,10
5208,9
5208,9
5208,9
5208,10
5208,9
5208,10
5208,9
5208,9
5209,10
5209,9
5209,10
5209,9
5209,9
5209,9
5209,10
5216,9
5216,10
5216,9
5216,12
5216,8
5216,9
5216,11
5216,6
5217,11
5217,9
5217,8
5217,10
5217,9
5217,10
5217,9
5217,9
5217,9
5217,9
5218,10
5218,9
5218,9
5218,8
5218,9
5218,10
5218,9
5218,9
5218,9
5219,9
5219,10
5219,9
5219,9
5219,9
5219,10
5219,10
5235,9
5239,10
5239,9
5239,9
5239,9
5239,10
5245,10
5245,10
5245,9
5245,9
5245,9
5245,10
5245,9
5245,9
5245,9
5246,9
5246,9
5246,9
5246,10
5246,9
5246,9
5246,10
5246,10
5246,9
5247,9
5247,10
5247,9
5247,10
5247,9
5247,9
5247,9
5247,9
5247,10
5247,10
5248,9
5248,9
5248,10
5248,10
5248,9
5248,9
