Timestamp (ms),F_IMU_ACCEL_X
5185,0.0
5194,0.0
5205,-0.009999999776482582
5215,-0.07999999821186066
5225,0.009999999776482582
5238,-0.009999999776482582
5244,-0.009999999776482582
5255,0.0
5265,0.0
5275,0.0
5286,0.0
5293,0.0
5305,0.009999999776482582
5316,-0.009999999776482582
5326,-0.009999999776482582
5337,0.0
5345,-0.05999999865889549
5355,-0.03999999910593033
5366,-0.019999999552965164
5376,-0.05999999865889549
5386,-0.009999999776482582
5394,0.019999999552965164
5406,0.0
5416,0.009999999776482582
5426,-0.009999999776482582
5438,-0.029999999329447746
5444,-0.029999999329447746
5456,-0.029999999329447746
5466,-0.029999999329447746
5476,-0.05000000074505806
5487,-0.029999999329447746
5493,-0.009999999776482582
5506,-0.009999999776482582
5516,0.009999999776482582
5526,0.009999999776482582
5537,0.0
5544,0.0
5556,-0.029999999329447746
5566,-0.029999999329447746
5576,-0.05000000074505806
5587,-0.009999999776482582
5593,-0.03999999910593033
5606,-0.009999999776482582
5616,0.0
5626,0.12999999523162842
5637,-0.09000000357627869
5644,0.0
5656,-0.05000000074505806
5666,-0.019999999552965164
5676,-0.009999999776482582
5689,0.07000000029802322
5693,0.07000000029802322
5706,0.029999999329447746
5716,0.10999999940395355
5726,-0.05999999865889549
5738,-0.1899999976158142
5744,-0.11999999731779099
5756,-0.11999999731779099
5766,0.05999999865889549
5776,0.11999999731779099
5787,0.11999999731779099
5793,0.03999999910593033
5806,-0.18000000715255737
5816,-0.18000000715255737
5826,-0.14000000059604645
5838,-0.10000000149011612
5843,0.03999999910593033
5856,0.11999999731779099
5866,0.10000000149011612
5876,0.05000000074505806
5888,-0.019999999552965164
5893,-0.10000000149011612
5906,-0.10999999940395355
5916,-0.07999999821186066
5926,-0.10000000149011612
5940,-0.009999999776482582
5944,-0.009999999776482582
5957,0.1899999976158142
5966,0.029999999329447746
5976,0.019999999552965164
5988,-0.019999999552965164
5993,-0.12999999523162842
6007,-0.10999999940395355
6016,-0.10000000149011612
6026,-0.07000000029802322
6038,0.009999999776482582
6043,0.0
6056,0.029999999329447746
6066,0.019999999552965164
6076,-0.019999999552965164
6088,-0.029999999329447746
6093,-0.03999999910593033
6105,-0.05000000074505806
6115,-0.019999999552965164
6125,0.0
6138,0.05999999865889549
6143,0.0
6155,0.0
6165,-0.029999999329447746
6175,-0.12999999523162842
6188,-0.03999999910593033
6193,0.03999999910593033
6205,0.019999999552965164
6215,0.019999999552965164
6225,0.009999999776482582
6240,-0.05999999865889549
6244,-0.05999999865889549
6255,-0.09000000357627869
6265,-0.05999999865889549
6275,-0.05000000074505806
6288,0.019999999552965164
6293,0.009999999776482582
6305,0.0
6314,0.03999999910593033
6324,0.0
6338,-0.029999999329447746
6343,-0.03999999910593033
6354,-0.029999999329447746
6364,0.0
6374,-0.07999999821186066
6387,-0.019999999552965164
6393,0.0
6404,0.0
6414,-0.05999999865889549
6424,-0.019999999552965164
6439,-0.03999999910593033
6443,-0.05000000074505806
6454,-0.029999999329447746
6464,-0.009999999776482582
6474,-0.029999999329447746
